Source code,Target code,Goldstein_sum,Goldstein_mean,Goldstein_std,Goldstein_count
ABW,ABW,5.1,1.02,3.755262973481351,5
ABW,CUB,-1.2000000000000002,-0.30000000000000004,3.340658617698013,4
ABW,NLD,31.4,6.279999999999999,2.095709903588758,5
ABW,USA,11.7,1.2999999999999998,3.3094561486745824,9
ABW,VAT,2.0,1.0,0.0,2
AFG,AFG,-73.20000000000002,-0.07862513426423202,5.157527606415451,931
AFG,AFR,-50.0,-7.142857142857143,4.8795003647426665,7
AFG,AGO,-17.6,-4.4,0.0,4
AFG,ALB,-2.0,-0.5,5.196152422706632,4
AFG,ARE,174.79999999999998,1.986363636363636,3.177296682885669,88
AFG,ARM,9.0,3.0,6.928203230275509,3
AFG,AUS,18.2,2.275,1.023648935356816,8
AFG,AUT,39.2,2.8000000000000003,3.1574088695053053,14
AFG,AZE,5.699999999999999,1.8999999999999997,0.0,3
AFG,BEL,16.0,4.0,3.4641016151377544,4
AFG,BGD,-9.0,-4.5,7.7781745930520225,2
AFG,BGR,2.0,1.0,0.0,2
AFG,BHR,2.0,1.0,0.0,2
AFG,CAN,8.5,2.125,0.4499999999999999,4
AFG,CHE,51.7,3.23125,2.5736404177740138,16
AFG,CHN,76.1,1.5530612244897959,3.9112072966038,49
AFG,COG,-17.6,-4.4,0.0,4
AFG,COL,-30.0,-10.0,0.0,3
AFG,CUB,0.0,0.0,,1
AFG,CYP,75.2,3.4181818181818184,2.2540199778631202,22
AFG,CZE,1.7999999999999998,0.6,4.849742261192856,3
AFG,DEU,38.3,1.9149999999999998,3.3028337115749244,20
AFG,DNK,2.8,2.8,,1
AFG,DZA,-2.200000000000001,-0.12941176470588242,3.4368889831289198,17
AFG,EGY,-4.200000000000003,-0.07000000000000005,4.4488543564322,60
AFG,ESP,0.0,0.0,0.0,2
AFG,ETH,-13.200000000000001,-4.4,0.0,3
AFG,EUR,-2.8000000000000007,-0.4000000000000001,3.7709415269929605,7
AFG,FIN,2.8,2.8,,1
AFG,FRA,-13.900000000000002,-0.40882352941176475,4.618432611405763,34
AFG,GBR,22.599999999999998,0.31830985915492954,3.225536936881536,71
AFG,GRC,14.0,7.0,0.0,2
AFG,HUN,7.5,0.75,3.064582625198196,10
AFG,IDN,1.0,0.5,7.7781745930520225,2
AFG,IGO,3.0,3.0,,1
AFG,IGOEUREEC,5.6,2.8,0.0,2
AFG,IGOMOSDEVIDB,3.0,1.0,0.0,3
AFG,IGOUNO,194.29999999999998,0.47739557739557736,4.840472852597064,407
AFG,IGOUNOHLHWHO,20.9,2.9857142857142853,2.089998860788024,7
