Source code,Target code,Goldstein_sum,Goldstein_mean,Goldstein_std,Goldstein_count
AFG,AFG,-1019.5,-1.1442199775533108,6.352092261953108,891
AFG,IRN,117.69999999999999,0.7743421052631578,4.639800416901464,152
AFG,PAK,-385.3,-0.29145234493192135,6.134679063762457,1322
AFG,RUS,-1156.1,-1.6445234708392602,6.090707556631065,703
AFG,USA,66.69999999999999,0.39005847953216366,4.377330034604901,171
AFR,AGO,-301.2,-1.0386206896551724,6.7977371179555055,290
AFR,BWA,-720.0,-2.7376425855513307,5.8881875989145955,263
AFR,FRA,270.5,1.7796052631578947,4.2430205849383436,152
AFR,GBR,243.39999999999998,0.5291304347826087,3.966633616650888,460
AFR,LSO,-3.3000000000000025,-0.011498257839721263,5.4120727696011715,287
AFR,MOZ,210.6,0.5050359712230216,5.192065744327058,417
AFR,NAM,-117.3,-0.5405529953917051,5.550234868921111,217
AFR,RUS,161.7,1.3146341463414632,3.816308467075696,123
AFR,USA,344.0,0.4444444444444444,4.286902208445516,774
AFR,ZAF,-1725.8,-0.9323608860075635,4.974014180905909,1851
AFR,ZMB,-528.4,-1.3309823677581862,5.77565618224864,397
AFR,ZWE,-785.1,-2.1930167597765364,5.845799215223211,358
AGO,AFR,-464.90000000000003,-1.4304615384615387,5.308329243201293,325
AGO,AGO,230.7,0.8907335907335907,5.020407099454674,259
AGO,CUB,-130.2,-0.8857142857142857,5.362783983603528,147
AGO,PRT,-11.9,-0.11226415094339623,4.068571829224569,106
AGO,USA,210.5,1.1378378378378378,3.61818710245105,185
AGO,ZAF,-305.4,-2.3492307692307692,5.97077178284071,130
ARG,ARG,606.5,1.4104651162790698,4.0230347551284495,430
ARG,BRA,833.9,3.989952153110048,2.6370409731085926,209
ARG,GBR,-52.9,-0.08076335877862595,5.150600098394255,655
ARG,RUS,541.0,3.1091954022988504,3.4365304516928505,174
ARG,URY,416.5,3.25390625,2.660113736948844,128
ARG,USA,228.6,1.0632558139534884,3.279417346906002,215
AUS,AUS,684.5,1.4055441478439425,3.644561603469363,487
AUS,GBR,178.6,0.9867403314917127,3.8455950101639234,181
AUS,IDN,258.8,1.713907284768212,3.857167177002648,151
AUS,NZL,666.0,2.7520661157024793,3.123624322557635,242
AUS,PHL,263.4,2.0578125,3.5163422606027397,128
AUS,USA,460.8,1.3203438395415472,4.064560020137074,349
AUT,AUT,430.8,1.3987012987012988,3.826540047005102,308
