Source code,Target code,Goldstein
AFG,AFG,-265.0
AFG,ALB,-9.2
AFG,ARE,16.1
AFG,AZE,0.0
AFG,BGD,7.0
AFG,CHE,12.1
AFG,CHN,16.0
AFG,CZE,2.0
AFG,DEU,34.9
AFG,DNK,1.0
AFG,DZA,8.2
AFG,EGY,17.2
AFG,EUR,9.8
AFG,FRA,12.1
AFG,FSM,0.0
AFG,GBR,47.8
AFG,HUN,-13.0
AFG,IDN,10.8
AFG,IGOEUREEC,2.0
AFG,IGOUNO,288.6
AFG,IGOUNOREFHCR,55.0
AFG,IND,-9.5
AFG,IRN,200.3
AFG,IRQ,-9.6
AFG,ISR,3.5
AFG,ITA,5.9
AFG,JOR,8.399999999999999
AFG,KAZ,11.6
AFG,KGZ,4.0
AFG,KOR,3.8
AFG,LKA,2.8
AFG,MAR,2.8
AFG,MOZ,1.9
AFG,MYS,22.6
AFG,NGO,0.4
AFG,NGOHLHIRC,-22.5
AFG,PAK,-264.5
AFG,PHL,8.6
AFG,PSE,6.8
AFG,QAT,13.9
AFG,RUS,-193.3
AFG,SAS,3.5
AFG,SAU,-4.400000000000001
AFG,SDN,34.5
AFG,SWE,0.0
AFG,SYR,9.2
AFG,TCD,-5.0
AFG,TGO,1.0
AFG,TJK,67.5
AFG,TKM,68.1
AFG,TUN,30.2
AFG,TUR,25.8
AFG,UIS,14.0
AFG,UKR,8.0
AFG,USA,92.7
AFG,UZB,-44.4
AFG,VNM,2.8
AFG,YEM,-2.1
AFR,AGO,266.7
AFR,ARE,9.8
AFR,ARG,17.4
AFR,ARM,19.2
AFR,AUS,52.8
AFR,BDI,18.199999999999996
AFR,BEL,39.0
AFR,BEN,11.9
AFR,BFA,11.299999999999999
AFR,BGD,-10.0
AFR,BGR,14.8
AFR,BRA,18.3
AFR,BWA,38.7
AFR,CAF,-9.0
AFR,CAN,35.9
AFR,CHE,54.9
AFR,CHL,14.3
AFR,CHN,113.7
AFR,CIV,27.099999999999998
AFR,CMR,30.7
AFR,COD,15.3
AFR,COG,34.5
AFR,COL,15.9
AFR,COM,2.0000000000000004
AFR,CPV,11.799999999999999
AFR,CRI,0.0
AFR,CUB,84.3
AFR,CZE,8.0
AFR,DEU,58.2
AFR,DJI,-0.8000000000000003
AFR,DNK,46.6
AFR,DZA,29.7
AFR,EGY,171.2
AFR,ERI,14.3
AFR,ESP,19.6
AFR,ETH,51.6
AFR,EUR,79.0
AFR,FIN,5.8
AFR,FRA,167.9
AFR,FSM,3.0
AFR,GAB,29.5
AFR,GBR,140.5
AFR,GHA,39.2
AFR,GIN,8.200000000000001
AFR,GMB,25.8
AFR,GNQ,2.8
AFR,GRC,4.0
AFR,HRV,0.0
AFR,HTI,-6.8
AFR,IDN,-11.1
AFR,IGO,11.5
AFR,IGOAFROAU,26.6
AFR,IGOBUSIMF,5.4
AFR,IGOBUSOPC,-2.0
AFR,IGOBUSWTO,1.9
AFR,IGOCOPITP,-17.0
AFR,IGOEUREEC,88.7
AFR,IGOPGSGCC,6.4
AFR,IGOUNO,140.7
AFR,IGOUNODEVWBK,2.8
AFR,IGOUNOKID,-7.2
AFR,IGOUNOREFHCR,4.699999999999999
AFR,IGOWSTNAT,8.8
AFR,IND,1.9
AFR,IRL,62.3
AFR,IRN,318.9
AFR,IRQ,10.3
AFR,ISR,86.2
AFR,ITA,0.3999999999999999
AFR,JAM,6.9
AFR,JOR,41.7
AFR,JPN,67.1
AFR,KEN,72.1
AFR,KHM,1.9
AFR,KNA,20.599999999999998
AFR,KOR,30.8
AFR,KWT,28.7
AFR,LBN,21.1
AFR,LBR,45.9
AFR,LBY,10.8
AFR,LKA,-2.0
AFR,LSO,21.1
AFR,LTU,-4.4
AFR,LUX,4.0
AFR,MAR,48.4
AFR,MCO,8.399999999999999
AFR,MDV,-10.0
AFR,MEX,-2.0
AFR,MLI,-0.10000000000000009
AFR,MMR,-5.9
AFR,MOZ,138.79999999999998
AFR,MRT,12.7
AFR,MUS,7.0
AFR,MWI,7.799999999999999
AFR,MYS,114.39999999999999
AFR,NAM,83.7
AFR,NER,10.8
AFR,NGA,5.4
AFR,NGO,7.4
AFR,NLD,21.2
AFR,NMR,2.0
AFR,NOR,21.6
AFR,NZL,-4.2
AFR,OMN,30.0
AFR,PAK,37.3
AFR,PHL,2.8
AFR,POL,-11.5
AFR,PRT,66.7
AFR,PSE,53.699999999999996
AFR,QAT,11.8
AFR,ROU,8.9
AFR,RUS,159.6
AFR,RWA,10.0
AFR,SAS,5.6
AFR,SAU,21.1
AFR,SDN,50.0
AFR,SEN,38.8
AFR,SGP,-22.700000000000003
AFR,SLE,-8.099999999999998
AFR,SOM,49.6
AFR,STP,0.3999999999999999
AFR,SVK,8.0
AFR,SWE,19.5
AFR,SWZ,45.9
AFR,SYC,20.1
AFR,SYR,6.0
AFR,TCD,-9.0
AFR,TGO,19.9
AFR,THA,12.4
AFR,TJK,-5.0
AFR,TUN,120.6
AFR,TUR,2.8
AFR,TWN,37.699999999999996
AFR,TZA,69.8
AFR,UGA,66.5
AFR,UIS,15.1
AFR,UKR,5.0
AFR,URY,7.4
AFR,USA,328.0
AFR,VAT,28.7
AFR,VEN,4.0
AFR,VNM,39.3
AFR,YEM,5.6
AFR,ZAF,246.09999999999997
AFR,ZMB,84.3
AFR,ZWE,179.9
AGO,AFR,183.4
AGO,AGO,598.2
AGO,ARG,-3.1
AGO,AUS,9.4
AGO,BDI,8.4
AGO,BEL,51.9
AGO,BEN,33.8
AGO,BRA,112.7
AGO,BWA,12.0
AGO,CHE,13.700000000000001
AGO,CIV,11.299999999999999
AGO,COD,-3.4999999999999982
AGO,COG,43.4
AGO,CPV,28.2
AGO,CUB,28.2
AGO,DEU,9.200000000000001
AGO,DZA,7.9
AGO,EGY,4.0
AGO,ESP,5.9
AGO,ETH,9.5
AGO,FRA,75.9
AGO,GAB,25.9
AGO,GBR,12.5
AGO,GHA,5.6
AGO,GNB,2.1
AGO,IGO,29.4
AGO,IGOEUREEC,21.5
AGO,IGOUNO,338.7
AGO,IGOUNOREFHCR,33.6
AGO,IRL,-0.4
AGO,IRN,5.6
AGO,ISR,23.0
AGO,JOR,14.0
AGO,JPN,22.0
AGO,KEN,1.0
AGO,KOR,-7.2
AGO,LBR,-7.5
AGO,LSO,7.5
AGO,MAR,7.0
AGO,MLI,19.5
AGO,MOZ,9.9
AGO,MWI,2.5
AGO,NAM,148.2
AGO,NGA,32.1
AGO,NGO,-4.4
AGO,NGOHLHIRC,2.8
AGO,PHL,-17.0
AGO,POL,1.9
AGO,PRT,94.7
AGO,PSE,3.8
AGO,ROU,35.6
AGO,RUS,19.3
AGO,RWA,22.1
AGO,SDN,-10.0
AGO,SLE,-10.0
AGO,SOM,13.6
AGO,STP,84.7
AGO,SWE,41.5
AGO,SWZ,3.2
AGO,TGO,13.6
AGO,TUN,1.9
AGO,UIS,38.1
AGO,UKR,11.2
AGO,URY,49.2
AGO,USA,35.5
AGO,VNM,15.5
AGO,ZAF,124.2
AGO,ZMB,373.6
AGO,ZWE,54.8
ALB,ALB,512.6
ALB,ARG,9.1
ALB,ARM,5.9
ALB,AUT,38.9
ALB,AZE,4.0
ALB,BEL,12.8
ALB,BGR,96.4
ALB,CAN,10.2
ALB,CHE,8.0
ALB,CHN,4.0
ALB,CYP,8.0
ALB,CZE,45.4
ALB,DEU,131.9
ALB,DNK,26.8
ALB,EGY,44.0
ALB,ESP,1.0
ALB,EUR,29.9
ALB,FIN,2.8
ALB,FJI,2.8
ALB,FRA,44.6
ALB,GBR,25.5
ALB,GRC,430.4
ALB,HRV,52.5
ALB,HUN,112.0
ALB,IGOCOPITP,0.0
ALB,IGOEURCOE,36.8
ALB,IGOEUREEC,85.4
ALB,IGOEURSCE,29.0
ALB,IGOUNO,15.5
ALB,IGOUNODEVWBK,14.0
ALB,IGOWSTNAT,60.9
ALB,IRN,2.8
ALB,IRQ,4.0
ALB,ISR,16.2
ALB,ITA,104.8
ALB,JPN,14.8
ALB,KOR,16.5
ALB,KWT,20.0
ALB,LBN,-5.0
ALB,LUX,1.9
ALB,MCO,3.8
ALB,MDA,8.0
ALB,MKD,113.0
ALB,MMR,8.0
ALB,MYS,55.0
ALB,NGOHLHIRC,6.8
ALB,PAK,45.9
ALB,POL,41.3
ALB,PRK,7.0
ALB,ROU,119.9
ALB,RUS,201.4
ALB,SAU,14.0
ALB,SEN,8.0
ALB,SWE,4.699999999999999
ALB,SYR,3.5
ALB,TUR,232.3
ALB,UIS,4.5
ALB,UKR,4.0
ALB,USA,274.2
ARE,AFG,32.1
ARE,AFR,0.2999999999999998
ARE,ARE,54.0
ARE,AUS,6.4
ARE,AUT,1.9
ARE,BHR,122.2
ARE,CAN,7.6
ARE,CHE,15.3
ARE,CHL,-4.0
ARE,CHN,34.9
ARE,DEU,1.9
ARE,DJI,8.0
ARE,DNK,-3.5999999999999996
ARE,DZA,13.8
ARE,EGY,84.7
ARE,ERI,20.0
ARE,EUR,16.6
ARE,FRA,105.3
ARE,GBR,87.1
ARE,GRC,5.0
ARE,HUN,37.8
ARE,IDN,5.0
ARE,IGOBUSWTO,13.8
ARE,IGOCOPITP,3.4
ARE,IGOEUREEC,11.0
ARE,IGOMEAARL,32.4
ARE,IGOPGSGCC,1.9
ARE,IGOUNO,3.0
ARE,IND,1.9
ARE,IRL,3.6
ARE,IRN,29.8
ARE,IRQ,16.4
ARE,ISR,30.5
ARE,ITA,6.0
ARE,JOR,73.7
ARE,JPN,40.8
ARE,KOR,5.9
ARE,KWT,139.4
ARE,LBN,7.5
ARE,LKA,-10.0
ARE,MAC,4.0
ARE,MAR,29.099999999999998
ARE,MCO,2.8
ARE,MDA,6.0
ARE,MEX,5.6
ARE,MYS,4.0
ARE,NGA,1.0
ARE,NGOHLHIRC,14.4
ARE,NLD,-1.3000000000000007
ARE,NMR,-5.0
ARE,NOR,9.6
ARE,NZL,0.0
ARE,OMN,182.9
ARE,PAK,95.6
ARE,PGS,2.8
ARE,PHL,-61.60000000000001
ARE,PSE,47.5
ARE,QAT,194.8
ARE,RUS,6.3
ARE,SAU,158.3
ARE,SDN,1.9
ARE,SGP,10.8
ARE,SOM,-20.1
ARE,SYR,19.9
ARE,TJK,11.2
ARE,TUN,4.0
ARE,TUR,-5.300000000000001
ARE,TWN,31.099999999999998
ARE,UKR,8.0
ARE,USA,83.1
ARE,VNM,8.0
ARE,YEM,9.1
ARE,ZAF,22.5
ARE,ZWE,7.0
ARG,AFR,11.5
ARG,AGO,7.0
ARG,ALB,8.399999999999999
ARG,ARE,4.0
ARG,ARG,285.0
ARG,AUT,1.9
ARG,AZE,2.5
ARG,BGD,8.5
ARG,BHS,-17.0
ARG,BLR,2.5
ARG,BOL,-4.9
ARG,BRA,525.3
ARG,BWA,2.0
ARG,CAN,122.8
ARG,CHE,-3.1
ARG,CHL,244.2
ARG,CHN,73.2
ARG,COL,34.0
ARG,CRI,10.0
ARG,CUB,77.3
ARG,CZE,11.7
ARG,DEU,-13.5
ARG,DNK,1.0
ARG,DOM,-4.0
ARG,DZA,7.9
ARG,ECU,147.1
ARG,EGY,2.8
ARG,ESP,41.6
ARG,EUR,13.3
ARG,FIN,6.8
ARG,FRA,-37.6
ARG,GBR,488.7
ARG,HND,12.7
ARG,HRV,53.6
ARG,HTI,1.7999999999999998
ARG,HUN,-24.0
ARG,IGOBUSIMF,16.5
ARG,IGOCOPITP,2.8
ARG,IGOEUREEC,54.3
ARG,IGOUNO,67.2
ARG,IGOUNODEVWBK,5.399999999999999
ARG,IGOUNOIAE,6.4
ARG,IRN,-58.0
ARG,IRQ,16.9
ARG,ISR,-87.2
ARG,ITA,-147.9
ARG,JAM,6.8
ARG,JPN,24.4
ARG,KAZ,2.5
ARG,KNA,0.0
ARG,KOR,34.6
ARG,LBN,11.2
ARG,LBY,-12.600000000000001
ARG,MEX,26.1
ARG,MOZ,0.0
ARG,NER,4.0
ARG,NGA,3.5999999999999996
ARG,NLD,5.6
ARG,NPL,-9.5
ARG,OMN,2.8
ARG,PAK,-5.0
ARG,PAN,7.9
ARG,PER,150.9
ARG,PHL,37.9
ARG,POL,52.2
ARG,PRT,1.0
ARG,PRY,64.2
ARG,PSE,5.4
ARG,RUS,10.1
ARG,RWA,2.0
ARG,SAU,15.8
ARG,SEN,-9.5
ARG,SLE,-4.0
ARG,SLV,-5.0
ARG,SYR,112.1
ARG,TGO,4.0
ARG,THA,6.8
ARG,TKM,4.0
ARG,TTO,2.8
ARG,TUN,-4.0
ARG,TUR,31.7
ARG,TWN,-20.4
ARG,TZA,6.0
ARG,UKR,34.8
ARG,URY,248.2
ARG,USA,305.1
ARG,UZB,2.5
ARG,VEN,67.4
ARG,VNM,8.0
ARG,ZAF,22.4
ARG,ZMB,-10.0
ARG,ZWE,15.4
ARM,AFR,14.0
ARM,ALB,6.8
ARM,ARM,261.7
ARM,AUT,4.8
ARM,AZE,-17.800000000000004
ARM,BGR,59.6
ARM,BLR,21.6
ARM,CHE,-10.0
ARM,COL,5.9
ARM,CYP,46.3
ARM,DEU,25.4
ARM,EGY,-4.0
ARM,FIN,-3.6
ARM,FRA,15.8
ARM,GBR,6.6
ARM,GRC,41.9
ARM,HUN,7.0
ARM,IGO,24.8
ARM,IGOEUREEC,3.8
ARM,IGOEURSCE,47.1
ARM,IGOUNO,6.8
ARM,IGOUNODEVWBK,11.4
ARM,IGOUNOIAE,3.5
ARM,IND,3.8
ARM,INT,14.0
ARM,IRN,262.2
ARM,ISR,-5.6
ARM,JAM,16.0
ARM,KAZ,15.5
ARM,KGZ,1.0
ARM,KWT,27.8
ARM,LBN,24.2
ARM,LBY,1.0
ARM,MDA,11.0
ARM,NGOHLHIRC,20.7
ARM,PAK,9.3
ARM,PSE,-0.4
ARM,ROU,11.8
ARM,RUS,328.5
ARM,SWE,10.8
ARM,SYR,22.8
ARM,TJK,1.0
ARM,TKM,196.2
ARM,TUR,73.6
ARM,TWN,3.0
ARM,UKR,49.4
ARM,USA,85.1
ARM,UZB,0.5
ARM,ZWE,12.0
ATG,ATG,-20.5
ATG,CAN,-35.0
ATG,CHN,0.0
ATG,CUB,7.6
ATG,DEU,3.0
ATG,FRA,0.0
ATG,GBR,-14.4
ATG,GRD,-4.0
ATG,KNA,-0.10000000000000009
ATG,MAR,1.9
ATG,TTO,0.0
ATG,USA,27.6
AUS,AFG,18.6
AUS,AFR,71.2
AUS,AGO,17.9
AUS,AUS,325.4
AUS,AUT,-24.0
AUS,BEL,9.5
AUS,BGD,11.9
AUS,BGR,14.0
AUS,BHS,7.0
AUS,BOL,2.5
AUS,BRA,5.3
AUS,BRN,28.7
AUS,CAN,91.9
AUS,CHE,0.19999999999999973
AUS,CHL,7.699999999999999
AUS,CHN,267.6
AUS,COD,2.3
AUS,CUB,40.0
AUS,CYP,2.0
AUS,CZE,42.6
AUS,DEU,40.800000000000004
AUS,DNK,14.9
AUS,EGY,13.7
AUS,ERI,5.2
AUS,ESP,6.8
AUS,ETH,13.8
AUS,EUR,29.400000000000002
AUS,FJI,11.0
AUS,FRA,-1132.3
AUS,FSM,8.0
AUS,GBR,15.999999999999996
AUS,GHA,7.4
AUS,GRC,40.3
AUS,HRV,40.599999999999994
AUS,HTI,-4.0
AUS,HUN,12.8
AUS,IDN,283.3
AUS,IGOBUSWTO,-2.0
AUS,IGOEUREEC,27.8
AUS,IGOMEAARL,8.0
AUS,IGOSEAASN,10.599999999999998
AUS,IGOUNO,126.6
AUS,IGOUNODEVWBK,-1.0
AUS,IGOUNOJUDICJ,12.4
AUS,IGOUNOREFHCR,0.0
AUS,IGOWSTNAT,-8.799999999999999
AUS,IND,9.8
AUS,INT,3.0
AUS,IRL,-4.1
AUS,IRN,17.4
AUS,IRQ,2.1999999999999997
AUS,ISR,55.3
AUS,ITA,17.7
AUS,JAM,4.0
AUS,JOR,72.4
AUS,JPN,286.4
AUS,KEN,11.8
AUS,KHM,88.8
AUS,KOR,26.5
AUS,LAO,14.8
AUS,LBN,29.799999999999997
AUS,LBR,10.3
AUS,LBY,0.4
AUS,LKA,68.0
AUS,LTU,14.0
AUS,MAC,0.0
AUS,MCO,1.0
AUS,MDV,-8.6
AUS,MEX,-20.0
AUS,MKD,4.0
AUS,MMR,21.900000000000002
AUS,MNG,7.4
AUS,MOZ,14.4
AUS,MUS,5.6
AUS,MYS,44.6
AUS,NER,-9.5
AUS,NGA,-5.8
AUS,NGO,8.0
AUS,NGOHLHIRC,10.9
AUS,NIC,4.0
AUS,NLD,26.0
AUS,NMR,0.4
AUS,NOR,12.6
AUS,NPL,1.9
AUS,NZL,156.0
AUS,PAK,-13.200000000000001
AUS,PER,-2.0
AUS,PGS,11.0
AUS,PHL,92.0
AUS,PNG,64.4
AUS,POL,19.8
AUS,PRK,20.0
AUS,PRT,17.2
AUS,PSE,33.5
AUS,ROU,7.0
AUS,RUS,8.299999999999999
AUS,RWA,29.5
AUS,SAS,-0.4
AUS,SAU,21.400000000000002
AUS,SEA,15.7
AUS,SGP,63.1
AUS,SLB,2.8
AUS,SLE,-9.2
AUS,SOM,29.200000000000003
AUS,SVK,3.0
AUS,SWE,35.6
AUS,SYC,-32.9
AUS,SYR,37.2
AUS,THA,42.2
AUS,TUN,1.9
AUS,TUR,-0.6000000000000001
AUS,TWN,28.9
AUS,TZA,12.2
AUS,UGA,7.4
AUS,UKR,16.0
AUS,URY,1.9
