Source code,Target code,Goldstein_sum,Goldstein_mean,Goldstein_std,Goldstein_count
ABW,COL,-5.0,-5.0,,1
AFG,AFG,-2459.4,-7.170262390670554,3.4380723027621154,343
AFG,CYP,-4.0,-2.0,0.0,2
AFG,DEU,-19.0,-9.5,0.0,2
AFG,EGY,-0.8,-0.4,0.0,2
AFG,EUR,-4.0,-4.0,,1
AFG,FRA,-28.0,-9.333333333333334,0.5773502691896255,3
AFG,GBR,-44.0,-7.333333333333333,4.131182235954578,6
AFG,GEO,-5.0,-5.0,,1
AFG,IGOUNO,-10.0,-3.3333333333333335,1.1547005383792515,3
AFG,IND,-14.0,-3.5,1.7320508075688772,4
AFG,IRN,-99.3,-3.5464285714285713,2.2422677249303993,28
AFG,IRQ,-16.0,-2.6666666666666665,1.0327955589886446,6
AFG,ISR,-40.0,-10.0,0.0,4
AFG,JOR,-20.4,-6.8,5.542562584220407,3
AFG,JPN,-5.0,-5.0,,1
AFG,KHM,-20.0,-10.0,0.0,2
AFG,LBY,-2.0,-2.0,,1
AFG,LKA,-20.0,-3.3333333333333335,3.265986323710904,6
AFG,MDV,-16.8,-4.2,0.23094010767585038,4
AFG,NGOHLHIRC,-36.0,-6.0,2.9664793948382653,6
AFG,PAK,-871.3,-5.7701986754966885,3.1997248777978142,151
AFG,PHL,-20.0,-10.0,0.0,2
AFG,RUS,-799.0,-5.626760563380282,3.2584623161343704,142
AFG,SAS,-0.4,-0.4,,1
AFG,SAU,-72.8,-5.2,4.347943811115248,14
AFG,TJK,-53.0,-7.571428571428571,2.4053511772118195,7
AFG,UIS,-0.4,-0.4,,1
AFG,USA,-219.0,-6.4411764705882355,3.350180243641248,34
AFG,UZB,-15.0,-5.0,0.0,3
AFR,AGO,-634.2,-5.467241379310345,3.507353166831301,116
AFR,AUS,-33.0,-3.3,1.4181364924121767,10
AFR,BDI,-30.0,-5.0,3.9496835316263,6
AFR,BEL,-4.0,-2.0,0.0,2
AFR,BEN,-8.0,-4.0,0.0,2
AFR,BFA,-64.3,-5.358333333333333,2.496345814233762,12
AFR,BRA,-4.0,-4.0,,1
AFR,BWA,-25.0,-6.25,3.4034296427770228,4
AFR,CAF,-6.5,-6.5,,1
AFR,CHN,-19.0,-3.8,1.0954451150103321,5
AFR,CIV,-25.5,-4.25,1.8371173070873836,6
AFR,CMR,-45.5,-4.136363636363637,1.9116865471476894,11
AFR,COD,-87.0,-5.117647058823529,2.3751934905702017,17
AFR,COG,-38.0,-4.222222222222222,1.3017082793177757,9
AFR,CPV,-4.0,-4.0,,1
AFR,CUB,-14.3,-4.766666666666667,4.8952357791360095,3
AFR,DEU,-8.0,-2.0,0.0,4
AFR,DJI,-53.0,-5.888888888888889,3.2956199888808646,9
AFR,DNK,-17.6,-5.866666666666667,4.006661120351125,3
AFR,DZA,-111.5,-3.596774193548387,2.3865573351542375,31
AFR,EGY,-22.8,-4.5600000000000005,5.008792269599529,5
AFR,ERI,-31.4,-4.485714285714286,4.006423413897808,7
AFR,ESP,-31.2,-7.8,1.5033296378372905,4
AFR,ETH,-205.1,-5.697222222222222,3.2627320813883314,36
AFR,EUR,-23.4,-3.9,2.603843313258307,6
AFR,FIN,-16.0,-8.0,0.0,2
AFR,FRA,-108.4,-3.737931034482759,2.584073997323862,29
AFR,GAB,-15.8,-3.16,2.5205158202241065,5
AFR,GBR,-117.4,-4.348148148148148,3.0044032263394245,27
AFR,GHA,-30.8,-3.4222222222222225,1.4678025904202663,9
AFR,GIN,-16.0,-4.0,1.4142135623730951,4
AFR,GMB,-2.0,-2.0,,1
AFR,GNQ,-2.0,-2.0,,1
AFR,GRC,-8.0,-2.6666666666666665,1.1547005383792517,3
AFR,HRV,-15.8,-2.6333333333333333,1.9856149341366938,6
AFR,IGOAFRAFU,-6.4,-3.2,1.6970562748477143,2
AFR,IGOBUSIMF,-0.8,-0.4,0.0,2
AFR,IGOUNO,-16.4,-4.1,0.2000000000000003,4
AFR,IGOUNODEVWBK,-0.8,-0.4,0.0,2
AFR,IGOUNOIAE,-2.0,-2.0,,1
AFR,INT,-9.0,-4.5,0.7071067811865476,2
AFR,IRN,-102.1,-7.292857142857143,3.4759535018830086,14
AFR,IRQ,-93.3,-4.442857142857143,2.7800308323058993,21
AFR,ISR,-109.2,-4.368,3.18443087536847,25
AFR,ITA,-66.8,-4.175,2.1123446688454988,16
AFR,JOR,-29.0,-5.8,4.024922359499621,5
AFR,JPN,-25.900000000000002,-2.354545454545455,2.893912105218,11
AFR,KEN,-324.0,-4.438356164383562,2.781567810156027,73
AFR,KWT,-12.0,-3.0,1.1547005383792515,4
AFR,LBR,-130.9,-5.0346153846153845,2.9283363615120868,26
AFR,LBY,-69.0,-4.6,2.4142434484888695,15
AFR,LSO,-21.5,-5.375,2.75,4
AFR,MAR,-47.5,-2.7941176470588234,1.3813356707528108,17
AFR,MCO,-10.0,-5.0,0.0,2
AFR,MDG,-9.0,-3.0,1.7320508075688772,3
AFR,MDV,-33.0,-8.25,1.4999999999999998,4
AFR,MLI,-78.0,-6.5,2.9076701075853593,12
AFR,MMR,-24.0,-4.0,1.5491933384829668,6
AFR,MOZ,-269.7,-5.504081632653061,3.487475160226561,49
AFR,MRT,-16.5,-4.125,2.6575364531836625,4
AFR,MWI,-32.5,-4.642857142857143,4.4290168746789025,7
AFR,MYS,-15.0,-5.0,0.0,3
AFR,NAM,-121.0,-4.321428571428571,2.5393725009168504,28
AFR,NER,-7.3,-2.433333333333333,3.521836642056717,3
AFR,NGA,-104.3,-3.596551724137931,2.833786305914087,29
AFR,NGOHLHIRC,-2.0,-2.0,,1
AFR,NGOHRIAMN,-15.0,-3.75,3.5,4
AFR,NLD,-10.0,-2.5,1.0,4
AFR,PHL,-37.5,-7.5,3.2015621187164243,5
AFR,PLW,-2.0,-2.0,,1
