Source code,Target code,Goldstein_sum,Goldstein_mean,Goldstein_std,Goldstein_count
ABW,COL,-5.0,-5.0,,1
ABW,NLD,3.8,1.9,0.0,2
ABW,USA,6.8,3.4,0.0,2
AFG,AFG,-890.1,-1.163529411764706,6.193977448852683,765
AFG,AGO,10.0,10.0,,1
AFG,AUS,8.399999999999999,2.7999999999999994,0.0,3
AFG,AUT,5.8,1.45,0.5196152422706631,4
AFG,AZE,6.8,3.4,0.0,2
AFG,BGR,52.6,4.781818181818182,2.40658188384197,11
AFG,CAN,1.9,1.9,,1
AFG,CHE,63.6,3.533333333333333,1.6757790111221844,18
AFG,CHN,17.2,2.15,1.1526367287968176,8
AFG,CUB,49.0,5.444444444444445,1.6666666666666667,9
AFG,CYP,-4.0,-2.0,0.0,2
AFG,DEU,-13.3,-2.66,6.244037155558894,5
AFG,EGY,13.2,3.3,4.2723919920032305,4
AFG,EST,12.0,6.0,0.0,2
AFG,ETH,10.2,3.4,0.0,3
AFG,EUR,10.700000000000001,2.6750000000000003,4.929756586282937,4
AFG,FRA,-20.0,-2.5,5.689589490589683,8
AFG,GBR,-15.4,-0.9058823529411765,5.813397305818184,17
AFG,GEO,18.0,2.5714285714285716,4.613644360558612,7
AFG,GHA,9.6,1.5999999999999999,0.46475800154489,6
AFG,HUN,6.8,1.7,1.9629909152447276,4
AFG,IGOSASSAA,12.0,4.0,0.0,3
AFG,IGOUNO,162.4,3.248,2.7011139047679222,50
AFG,IGOUNODEVWBK,2.8,2.8,,1
AFG,IGOUNOKID,12.8,6.4,0.0,2
AFG,IGOUNOREFHCR,24.0,4.0,4.381780460041329,6
AFG,IND,46.0,2.5555555555555554,3.938381605837938,18
AFG,IRN,700.0,2.845528455284553,3.3798503054043825,246
AFG,IRQ,41.400000000000006,1.8000000000000003,3.85404156226115,23
AFG,ISR,-37.2,-7.44,5.724334022399461,5
AFG,ITA,12.0,3.0,2.8284271247461903,4
AFG,JOR,0.0,0.0,4.8846698967279245,13
AFG,JPN,9.6,1.5999999999999999,3.234810659064917,6
AFG,KAZ,18.2,3.6399999999999997,0.32863353450309957,5
AFG,KGZ,30.8,5.133333333333334,2.236664182810345,6
AFG,KHM,-16.0,-5.333333333333333,8.082903768654761,3
AFG,KOR,5.5,1.8333333333333333,1.4433756729740643,3
AFG,LBY,6.0,1.5,2.614064523559687,4
AFG,LKA,24.8,1.180952380952381,4.0307094968031425,21
AFG,LTU,12.0,6.0,0.0,2
AFG,LVA,12.0,6.0,0.0,2
AFG,MAR,1.0,1.0,,1
AFG,MDV,-16.8,-4.2,0.23094010767585038,4
AFG,MYS,1.0,1.0,,1
AFG,NGOHLHIRC,-15.200000000000001,-1.0857142857142859,5.100657143614271,14
AFG,NGOHRIAMN,1.0,1.0,,1
AFG,PAK,788.2,1.3427597955706985,4.954815758075123,587
AFG,PER,26.7,2.0538461538461537,1.734269963901903,13
AFG,PGS,3.8,1.9,0.0,2
AFG,PHL,-20.0,-10.0,0.0,2
AFG,POL,5.9,2.95,1.4849242404917498,2
AFG,PRK,7.6,1.9,0.0,4
AFG,PSE,16.8,5.6000000000000005,2.4248711305964283,3
AFG,RUS,1874.4,2.314074074074074,4.564172233543358,810
AFG,SAS,30.1,3.3444444444444446,3.404816849373513,9
AFG,SAU,151.2,1.7581395348837208,4.053450675696074,86
AFG,SDN,17.0,3.4,3.286335345030997,5
AFG,SYR,45.1,2.81875,1.9701840015592451,16
AFG,THA,6.8,3.4,0.0,2
AFG,TJK,5.0,0.18518518518518517,5.094469377041954,27
AFG,TKM,7.8,2.6,1.3856406460551016,3
AFG,TUR,30.6,2.7818181818181817,0.9775665520241389,11
AFG,UIS,-0.4,-0.4,,1
AFG,USA,155.5,1.1604477611940298,5.216717180743761,134
AFG,UZB,33.3,2.08125,3.838266752932457,16
AFG,VNM,16.0,8.0,0.0,2
AFG,YEM,5.699999999999999,1.14,1.0406728592598156,5
AFG,ZAF,3.8,1.9,0.0,2
AFR,AGO,400.2,1.0209183673469386,5.128798503597678,392
AFR,ALB,1.9,1.9,,1
AFR,ARG,71.3,5.484615384615385,2.2401064535144135,13
AFR,AUS,243.79999999999998,2.3,2.328171160456411,106
AFR,AUT,1.9,1.9,,1
AFR,BDI,16.8,0.7304347826086957,4.26906789726545,23
AFR,BEL,32.9,1.9352941176470588,2.371429204211721,17
AFR,BEN,7.9,0.79,2.7359540282037718,10
