Source code,Target code,Goldstein
AFG,AFG,-1.2804081632653062
AFG,AFR,-5.05
AFG,AGO,-0.30000000000000004
AFG,ALB,0.0
AFG,ARE,1.6333333333333335
AFG,ARG,4.0
AFG,AUS,-0.25
AFG,AUT,-0.6000000000000002
AFG,BEL,1.0
AFG,BGD,0.03500000000000001
AFG,BGR,3.51875
AFG,CAN,-0.5
AFG,CHE,1.042857142857143
AFG,CHN,-0.08550724637681162
AFG,COL,-2.0
AFG,CUB,1.8730769230769229
AFG,CZE,2.7333333333333334
AFG,DEU,1.3413043478260869
AFG,DNK,0.5166666666666666
AFG,EGY,0.816
AFG,ESP,2.3125
AFG,ETH,-0.01111111111111112
AFG,EUR,0.7928571428571429
AFG,FIN,0.3500000000000001
AFG,FRA,1.0411764705882354
AFG,GBR,0.5166666666666665
AFG,GIN,2.8
AFG,GRC,-2.0
AFG,HUN,3.44
AFG,IDN,0.827272727272727
AFG,IGOMEAARL,4.0
AFG,IGOSEAASN,2.5
AFG,IGOUNO,0.8975609756097562
AFG,IGOWSTNAT,-1.48
AFG,IND,0.0014492753623188677
AFG,IRL,1.9
AFG,IRN,-0.6436708860759494
AFG,IRQ,-1.7399999999999998
AFG,ISR,3.2555555555555555
AFG,ITA,0.5
AFG,JOR,2.6285714285714286
AFG,JPN,1.2620689655172415
AFG,KHM,1.108695652173913
AFG,KOR,-4.5
AFG,KWT,-1.5
AFG,LBN,1.3333333333333333
AFG,LBY,1.9
AFG,LKA,-3.875
AFG,MAR,4.0
AFG,MDG,7.0
AFG,MDV,0.08000000000000007
AFG,MEX,-2.0
AFG,MMR,1.0
AFG,MNG,4.34
AFG,MYS,1.975
AFG,NGA,-2.0
AFG,NGOHLHIRC,2.3111111111111113
AFG,NLD,2.8
AFG,NOR,-0.675
AFG,NPL,-1.55
AFG,NZL,-0.9666666666666668
AFG,PAK,-0.49950248756218907
AFG,PGS,-1.65
AFG,PHL,2.0
AFG,POL,0.6124999999999998
AFG,PRK,8.0
AFG,PRT,2.0
AFG,PSE,2.5
AFG,ROU,1.45
AFG,RUS,-1.0893572909467863
AFG,SAS,-4.0
AFG,SAU,1.708695652173913
AFG,SDN,2.9
AFG,SEA,2.7800000000000002
AFG,SEN,-5.0
AFG,SLV,2.3499999999999996
AFG,SVK,3.733333333333333
AFG,SWE,2.3000000000000003
AFG,SYR,4.6499999999999995
AFG,TCD,-0.4
AFG,THA,-0.8833333333333334
AFG,TUN,-4.525
AFG,TUR,-1.0909090909090908
AFG,TZA,-9.5
AFG,UIS,3.4
AFG,USA,-0.05236363636363637
AFG,VAT,4.0
AFG,VNM,2.18
AFG,YEM,4.414285714285715
AFG,ZAF,-2.0
AFG,ZWE,0.0
AFR,AFG,0.5
AFR,AGO,-3.1750000000000003
AFR,ALB,2.7249999999999996
AFR,AUT,3.3000000000000003
AFR,BEL,6.0
AFR,BGD,-0.4
AFR,BGR,2.38
AFR,BRA,1.3666666666666665
AFR,BWA,1.3
AFR,CAN,4.0
AFR,CHE,0.3000000000000001
AFR,CHN,2.6722222222222225
AFR,CIV,1.2
AFR,CMR,0.0
AFR,COD,-0.6600000000000001
AFR,COG,2.3499999999999996
AFR,CPV,3.4
AFR,CRI,0.0
AFR,CUB,4.7
AFR,CZE,1.8999999999999997
AFR,DEU,2.7800000000000002
AFR,DZA,1.9
AFR,EGY,2.011111111111111
AFR,ERI,-5.533333333333334
AFR,ESP,2.8
AFR,ETH,0.0363636363636364
AFR,EUR,3.0
AFR,FIN,2.8
AFR,FRA,1.2285714285714284
AFR,GAB,1.0
AFR,GBR,1.4948275862068967
AFR,GHA,3.1666666666666665
AFR,GIN,2.8
AFR,GNB,2.8
AFR,GRC,4.0
AFR,HRV,2.8
AFR,HUN,2.8
AFR,IDN,3.04
AFR,IGOBUSOPC,-4.0
AFR,IGOUNO,0.6749999999999999
AFR,IRN,2.8
AFR,IRQ,1.9
AFR,ISR,3.0238095238095237
AFR,ITA,-0.3888888888888889
AFR,JOR,2.8
AFR,JPN,6.2
AFR,KEN,-0.1875
AFR,KHM,3.0
AFR,LBR,-0.2571428571428572
AFR,LBY,-1.1
AFR,LSO,1.25
AFR,MAR,-1.7200000000000002
AFR,MDV,-9.75
AFR,MEX,1.9
AFR,MLI,3.4
AFR,MOZ,1.534782608695652
AFR,MRT,2.8
AFR,NAM,-0.5597701149425287
AFR,NER,2.3333333333333335
AFR,NGA,1.262962962962963
AFR,NLD,6.4
AFR,POL,3.3
AFR,PRK,4.766666666666667
AFR,PRT,0.15
AFR,PSE,1.2666666666666666
AFR,ROU,1.0
AFR,RUS,1.3956521739130436
AFR,SAS,-4.4
AFR,SDN,3.0666666666666664
AFR,SEA,2.8
AFR,SEN,1.2666666666666666
AFR,SLE,0.990909090909091
AFR,SOM,-0.8714285714285713
AFR,SYR,1.9
AFR,TCD,-0.07142857142857142
AFR,TGO,1.3
AFR,TUN,1.4
AFR,TWN,2.2555555555555555
AFR,TZA,0.3923076923076923
AFR,UGA,0.6071428571428571
AFR,UIS,-0.6666666666666666
AFR,UKR,2.8
AFR,USA,1.21875
AFR,VAT,3.0999999999999996
AFR,VNM,1.9
AFR,YEM,4.0
AFR,ZAF,0.6355
AFR,ZMB,0.7131578947368421
AFR,ZWE,1.363917525773196
AGO,AFR,-2.5454545454545454
AGO,AGO,0.8320754716981132
AGO,AUT,-6.5
AGO,BEL,-4.75
AGO,BGR,0.8999999999999999
AGO,BWA,2.6999999999999997
AGO,CHN,-10.0
AGO,CIV,1.9
AGO,COD,2.7714285714285714
AGO,COG,3.8333333333333335
AGO,CPV,3.875
AGO,CUB,3.6333333333333333
AGO,CZE,3.4
AGO,DEU,4.45
AGO,DNK,7.0
AGO,DZA,1.95
AGO,ESP,4.175
AGO,ETH,2.1625
AGO,FRA,1.481818181818182
AGO,GBR,1.9
AGO,GHA,7.0
AGO,GIN,1.9
AGO,GNB,3.875
AGO,HUN,-1.0750000000000002
AGO,IGOUNO,0.13749999999999996
AGO,ITA,4.0
AGO,KHM,1.9
AGO,LAO,6.0
AGO,LBR,1.9
AGO,LSO,2.5
AGO,MDG,2.8
AGO,MOZ,4.1499999999999995
AGO,NAM,-5.0
AGO,NGA,7.0
AGO,POL,3.8333333333333335
AGO,PRK,4.0
AGO,PRT,1.2652173913043478
AGO,ROU,2.3499999999999996
AGO,RUS,1.407142857142857
AGO,SDN,1.9
AGO,SEN,1.0
AGO,TCD,-0.4
AGO,TGO,-4.0
AGO,TZA,2.6799999999999997
AGO,UGA,-9.5
AGO,USA,2.0636363636363635
AGO,VNM,0.3999999999999999
AGO,YEM,2.8
AGO,ZAF,-5.264150943396227
AGO,ZMB,2.9
AGO,ZWE,0.30000000000000004
ALB,AFG,-3.8333333333333335
ALB,AFR,2.5
ALB,ALB,2.758
ALB,AUT,1.65
ALB,BGD,1.9
ALB,BGR,4.533333333333334
ALB,BRA,2.5
ALB,CAN,2.8
ALB,CHE,1.7
ALB,CHN,-4.5
ALB,CPV,5.0
ALB,CRI,1.7
ALB,CUB,4.85
ALB,DEU,3.16
ALB,DNK,1.9
ALB,DZA,3.8249999999999997
ALB,ECU,3.3333333333333335
ALB,EGY,0.4333333333333333
ALB,ESP,2.8
ALB,EUR,7.0
ALB,FIN,2.9499999999999997
ALB,FRA,2.0799999999999996
ALB,GBR,-3.0
ALB,GHA,2.8
ALB,GIN,6.0
ALB,GRC,2.5214285714285714
ALB,HUN,-2.0
ALB,IGOUNO,2.5
ALB,IRN,0.08333333333333333
ALB,IRQ,2.0
ALB,ISR,-2.0
ALB,ITA,5.2
ALB,LAO,2.04
ALB,LBY,4.1000000000000005
ALB,LSO,2.466666666666667
ALB,MEX,2.8
ALB,MLI,2.8
ALB,MMR,2.2666666666666666
ALB,MOZ,3.4
ALB,NER,3.35
ALB,NLD,5.4
ALB,NOR,2.2666666666666666
ALB,PHL,-6.5
ALB,POL,5.7
ALB,PRK,2.8
ALB,PRT,2.9499999999999997
ALB,RUS,1.7916666666666667
ALB,SLE,1.7
ALB,SWE,3.5500000000000003
ALB,TGO,0.0
ALB,TUR,3.0599999999999996
ALB,TZA,3.3200000000000003
ALB,USA,1.1285714285714286
ALB,VEN,0.4
ALB,VNM,2.27
ALB,ZWE,0.8714285714285713
ARE,AFG,1.2545454545454546
ARE,ARE,-0.3125
ARE,BHR,2.75
ARE,CHN,4.4
ARE,EGY,2.8
ARE,FRA,3.9
ARE,IGOBUSOPC,0.0
ARE,IRN,0.70625
ARE,IRQ,3.216666666666667
ARE,ISR,0.76
ARE,ITA,-10.0
ARE,JOR,4.45
ARE,JPN,3.1999999999999997
ARE,KWT,3.29
ARE,LBN,5.2
ARE,LBY,3.4
ARE,LKA,5.6
ARE,MDV,0.0
ARE,NGA,3.0
ARE,OMN,2.95
ARE,PAK,3.2
ARE,PGS,0.9666666666666667
ARE,PSE,2.6
ARE,QAT,3.1666666666666665
ARE,RUS,-3.5
ARE,SAU,3.1470588235294117
ARE,SDN,4.575
ARE,SOM,2.6999999999999997
ARE,SYR,1.15
ARE,UIS,3.5
ARE,USA,2.457142857142857
ARE,YEM,2.62
ARG,AFG,-2.66
ARG,ARG,2.158904109589041
ARG,AUS,3.9500000000000006
ARG,BEL,1.9
ARG,BOL,1.7449999999999999
ARG,BRA,3.496666666666667
ARG,CAN,3.7
ARG,CHE,0.6666666666666666
ARG,CHL,2.0136363636363637
ARG,CHN,3.5545454545454547
ARG,COD,4.716666666666667
ARG,COL,-1.55
ARG,CRI,1.9
ARG,CUB,5.0
ARG,CYP,1.9
ARG,DEU,3.9933333333333336
ARG,DOM,1.9
ARG,ECU,1.9
ARG,EGY,1.9
ARG,ESP,2.45
ARG,EUR,0.25
ARG,GBR,1.06
ARG,GTM,8.15
ARG,HND,0.6500000000000004
ARG,HUN,2.5
ARG,IDN,-5.0
ARG,IGOWSTNAT,-2.0
ARG,IRN,2.0
ARG,ISR,3.642857142857143
ARG,ITA,1.9
ARG,MEX,3.744444444444445
ARG,NGOHLHIRC,3.0
ARG,NIC,-7.5
ARG,NLD,-1.9000000000000001
ARG,NOR,-1.0333333333333334
ARG,NZL,8.0
ARG,PER,-2.057142857142857
ARG,POL,7.0
ARG,PRT,3.9333333333333336
ARG,PRY,-2.9466666666666668
ARG,RUS,3.809090909090909
ARG,SEN,6.4
ARG,SLV,8.3
ARG,SWE,-4.7
ARG,THA,6.0
ARG,UIS,-5.0
ARG,URY,1.53
ARG,USA,0.8048780487804879
ARG,VAT,3.0500000000000003
ARG,VEN,1.7
ARM,ARM,-0.7571428571428571
ARM,FRA,-2.5
ARM,GRC,-2.98
ARM,IRN,1.0
ARM,ITA,-10.0
ARM,LBN,0.0
ARM,MMR,1.9
ARM,RUS,1.86
ARM,SLV,-10.0
ARM,TUR,-4.5588235294117645
ARM,USA,3.54
AUS,AFG,-0.0967741935483871
AUS,ARG,-0.14000000000000012
AUS,AUS,1.961855670103093
AUS,BEL,4.95
AUS,BGR,3.5
AUS,BRA,1.9
AUS,CAN,2.1727272727272724
AUS,CHE,3.75
AUS,CHL,1.9
AUS,CHN,3.0727272727272728
AUS,COL,1.9
AUS,CRI,1.9
AUS,CUB,-3.6
AUS,DEU,4.714285714285714
AUS,DNK,1.9
AUS,DOM,1.9
AUS,ECU,1.9
AUS,EGY,1.9
AUS,ESP,1.9
AUS,ETH,7.4
AUS,EUR,1.3
AUS,FIN,-0.050000000000000044
AUS,FRA,3.175
AUS,GBR,1.8428571428571427
AUS,GRC,6.4
AUS,HUN,0.7333333333333333
AUS,IDN,2.533333333333333
AUS,IGOSEAASN,4.885714285714286
AUS,IGOUNO,0.5
AUS,IRL,-7.0
AUS,IRN,2.627272727272727
AUS,IRQ,5.125
AUS,ISR,0.6
AUS,ITA,0.95
AUS,JOR,1.9
AUS,JPN,2.9291666666666667
AUS,KHM,2.588888888888889
AUS,KOR,-0.3
AUS,LBN,2.8
AUS,LBR,-2.4
AUS,LUX,7.0
AUS,MOZ,2.8
AUS,MYS,1.94
AUS,NLD,1.9
AUS,NPL,-5.0
AUS,NZL,3.5439999999999996
