Source code,Target code,Goldstein_sum,Goldstein_mean,Goldstein_std,Goldstein_count
ABW,ABW,3.4,3.4,,1
ABW,NLD,12.0,4.0,0.0,3
ABW,USA,-9.4,-1.8800000000000001,4.272235948540295,5
AFG,AFG,-1598.8,-1.5845391476709614,6.303831570635131,1009
AFG,ARE,4.0,4.0,,1
AFG,ARM,-5.0,-5.0,,1
AFG,AUS,12.0,6.0,0.0,2
AFG,AZE,26.9,5.38,2.3392306427541514,5
AFG,BHR,5.6,2.8,0.0,2
AFG,BOL,14.0,7.0,0.0,2
AFG,CHN,15.7,0.8263157894736842,6.8550745279410155,19
AFG,DEU,10.0,2.0,2.7386127875258306,5
AFG,DZA,-32.2,-3.22,7.083125487146665,10
AFG,EGY,12.0,2.4,7.05691150575094,5
AFG,FRA,-1.6000000000000005,-0.2666666666666668,3.8234364996252608,6
AFG,GBR,-209.2,-6.748387096774193,4.159156241975203,31
AFG,IDN,26.4,1.8857142857142857,2.192945733257207,14
AFG,IGOCASCIS,-35.0,-8.75,2.5,4
AFG,IGOSEAASN,4.0,4.0,,1
AFG,IGOUNO,232.2,2.036842105263158,3.4047146686394485,114
AFG,IGOUNOKID,44.7,5.5875,2.4286607126444935,8
AFG,IGOUNOREFHCR,23.5,2.35,3.9489098354974996,10
AFG,IGOUNOWFP,14.4,2.4,3.720215047547655,6
AFG,IGOWSTNAT,3.4,3.4,,1
AFG,IND,-11.4,-1.0363636363636364,4.731442217183409,11
AFG,INT,-18.0,-9.0,0.0,2
AFG,IRN,354.1,1.825257731958763,4.467166479783413,194
AFG,IRQ,6.0,3.0,0.0,2
AFG,ISR,29.0,5.8,1.4832396974191326,5
AFG,ITA,14.799999999999999,2.4666666666666663,2.6904770332910606,6
AFG,JOR,5.6,1.1199999999999999,1.744133022449836,5
AFG,JPN,-30.0,-10.0,0.0,3
AFG,KAZ,2.0,1.0,0.0,2
AFG,KGZ,40.3,4.029999999999999,2.6055709547045542,10
AFG,KHM,1.2000000000000002,0.4000000000000001,0.0,3
AFG,KWT,3.8,1.9,0.0,2
AFG,LAO,21.0,7.0,0.0,3
AFG,LBN,-1.0,-0.14285714285714285,7.010196655077312,7
AFG,LBR,-10.0,-10.0,,1
AFG,LBY,10.8,3.6,0.692820323027551,3
AFG,LKA,17.9,4.475,2.5500000000000003,4
AFG,MAR,-1.2000000000000002,-0.13333333333333336,4.1182520563948,9
AFG,MDA,18.0,3.6,4.33589667773576,5
AFG,MDV,-10.0,-5.0,0.0,2
AFG,MWI,-10.0,-10.0,,1
AFG,MYS,41.199999999999996,1.5846153846153845,2.856108164295226,26
AFG,NGO,0.0,0.0,,1
AFG,NGOHLHIRC,-23.900000000000002,-0.5431818181818182,5.6129169023084495,44
AFG,PAK,148.6,0.2013550135501355,5.486665548388479,738
AFG,PAN,21.0,7.0,0.0,3
AFG,PER,21.0,7.0,0.0,3
AFG,POL,-5.0,-5.0,,1
AFG,PSE,6.8,3.4,0.0,2
AFG,QAT,12.0,6.0,0.0,2
AFG,RUS,-272.4,-1.7350318471337578,5.9078160553499846,157
AFG,SAU,-36.4,-0.8878048780487805,5.593263587653955,41
AFG,SEA,3.8,1.9,0.0,2
AFG,SWE,-0.8,-0.4,0.0,2
AFG,SYR,14.0,2.8,0.0,5
AFG,THA,5.6,2.8,0.0,2
AFG,TJK,138.4,1.0328358208955224,5.205055034549797,134
AFG,TUN,149.4,2.7163636363636363,3.217646001543022,55
AFG,TUR,-13.8,-1.3800000000000001,7.036697457693567,10
AFG,UIS,31.4,3.925,1.6175378114370529,8
AFG,USA,170.8,2.944827586206897,3.0093522304550784,58
AFG,UZB,-370.5,-1.9397905759162304,6.2178256444986,191
AFG,YEM,-26.8,-3.8285714285714287,5.865354290439832,7
AFG,ZAF,3.8,1.9,0.0,2
AFR,AGO,492.5,2.2488584474885847,4.885377552297758,219
AFR,ALB,-60.0,-10.0,0.0,6
AFR,ARE,52.4,5.24,1.328491207682192,10
AFR,ARG,48.5,3.2333333333333334,2.024728082860464,15
AFR,AUS,6.799999999999999,0.309090909090909,6.099095100009594,22
AFR,AUT,23.099999999999998,2.5666666666666664,0.5074445782546111,9
AFR,BDI,64.2,3.0571428571428574,1.1922967032460623,21
AFR,BEL,47.7,3.18,3.394365078437245,15
AFR,BEN,33.6,4.2,2.1567170819160704,8
AFR,BFA,2.0,1.0,0.0,2
AFR,BGD,12.0,4.0,0.0,3
AFR,BGR,14.1,2.35,0.4929503017546495,6
AFR,BHR,32.2,4.6000000000000005,2.238302928559939,7
AFR,BLR,7.0,3.5,4.949747468305833,2
AFR,BRA,28.4,4.057142857142857,1.3986387940388594,7
AFR,BWA,171.2,2.3452054794520545,3.7644920380330205,73
AFR,CAF,3.8,1.9,0.0,2
AFR,CAN,75.5,3.4318181818181817,2.419245526553458,22
AFR,CHE,27.2,3.4,1.6587430697454537,8
AFR,CHN,45.8,1.3470588235294116,4.709451186845812,34
AFR,CIV,31.5,2.1,1.9283597767458822,15
AFR,CMR,18.8,1.342857142857143,5.195962083966932,14
AFR,COD,72.3,3.6149999999999998,1.2512204568256342,20
AFR,COG,6.0,1.2,6.260990336999411,5
AFR,CPV,-0.6000000000000001,-0.12000000000000002,4.936800583373811,5
AFR,CRI,8.5,2.125,0.4499999999999999,4
AFR,CUB,144.8,2.784615384615385,3.0128733347957692,52
AFR,CZE,80.0,2.7586206896551726,1.7927467436030966,29
AFR,DEU,37.6,1.7090909090909092,2.666709956358582,22
AFR,DJI,11.299999999999999,2.26,0.4929503017546496,5
AFR,DNK,0.5999999999999991,0.06666666666666657,3.9341453963980535,9
AFR,DZA,20.7,1.5923076923076922,5.224375806170778,13
AFR,EGY,201.1,2.9573529411764703,2.5587028066342112,68
AFR,ERI,24.099999999999998,2.6777777777777776,0.6220485868840507,9
AFR,ESP,11.8,2.95,1.2124355652982142,4
AFR,ETH,86.6,2.70625,1.637846245097703,32
AFR,EUR,156.0,3.3191489361702127,2.3955246586873784,47
AFR,FIN,-0.6,-0.3,0.0,2
AFR,FRA,552.8,2.4352422907488984,2.779808726527723,227
AFR,GAB,20.3,1.6916666666666667,1.0246581100173082,12
AFR,GBR,375.3,2.108426966292135,2.669832893848718,178
AFR,GHA,43.1,1.2676470588235293,4.9087257241868905,34
AFR,GIN,-2.0,-2.0,,1
AFR,GMB,13.1,2.62,0.40249223594996203,5
AFR,GNB,4.8,1.5999999999999999,3.117691453623979,3
AFR,GNQ,13.8,3.45,0.057735026918962734,4
AFR,GRC,-12.0,-4.0,1.7320508075688772,3
AFR,GRD,1.9,1.9,,1
AFR,HRV,11.6,1.9333333333333333,1.2659647177811344,6
AFR,HTI,49.900000000000006,3.838461538461539,3.3182672339486823,13
AFR,IDN,61.9,4.126666666666667,2.1079667477272523,15
AFR,IGO,1.0,1.0,,1
AFR,IGOAFRAFU,9.8,1.9600000000000002,3.92530253611107,5
AFR,IGOAFRBUSCES,24.0,8.0,0.0,3
AFR,IGOAFRDEVAFB,36.3,3.63,3.3183161727331263,10
AFR,IGOAFROAU,50.4,3.36,2.661041686472209,15
AFR,IGOBUSIMF,-4.0,-4.0,,1
AFR,IGOCOPITP,22.0,3.6666666666666665,4.412104562073146,6
AFR,IGOCWN,1.0,1.0,,1
AFR,IGOEUREEC,49.2,3.5142857142857147,3.5593554176298534,14
AFR,IGOMEAARL,2.0,1.0,0.0,2
AFR,IGOPGSGCC,12.8,6.4,0.0,2
AFR,IGOSAFDEVSAD,74.2,4.364705882352942,1.9977928998242624,17
AFR,IGOUNO,206.1,2.4535714285714283,4.482427441233246,84
AFR,IGOUNODEVWBK,17.0,2.8333333333333335,1.4375905768565218,6
AFR,IGOUNOJUDWCT,3.0,3.0,,1
AFR,IGOUNOKID,26.200000000000003,5.24,3.2784142508231024,5
AFR,IGOWAFWAS,8.5,8.5,,1
AFR,IND,12.299999999999999,2.05,0.6774953874381728,6
AFR,INT,10.1,1.6833333333333333,3.3253070033707663,6
AFR,IRL,69.2,3.2952380952380955,0.7605762226602871,21
AFR,IRN,198.5,2.719178082191781,3.9352981510033933,73
AFR,IRQ,52.5,4.7727272727272725,3.491157661604789,11
AFR,ISR,220.5,2.1201923076923075,3.168239834983944,104
AFR,ITA,13.9,0.8176470588235294,4.894925343419147,17
AFR,JOR,73.9,3.079166666666667,2.546434705651203,24
AFR,JPN,122.4,3.1384615384615384,3.153328682737738,39
AFR,KEN,170.7,2.370833333333333,3.2099948444520043,72
AFR,KNA,7.5,2.5,0.5196152422706634,3
AFR,KOR,22.6,2.511111111111111,3.1286756161531213,9
AFR,KWT,72.5,3.625,2.487204095068661,20
AFR,LBN,111.6,3.7199999999999998,2.9582613719594804,30
AFR,LBR,86.2,1.346875,6.083648882879315,64
AFR,LBY,21.9,2.433333333333333,2.280350850198276,9
AFR,LKA,25.2,2.8,0.0,9
AFR,LSO,131.3,0.8525974025974027,4.231537337905069,154
AFR,MAR,128.2,2.5137254901960784,2.486605687103859,51
AFR,MDG,8.5,1.4166666666666667,6.01179396408981,6
AFR,MEX,4.199999999999999,1.0499999999999998,0.9949874371066199,4
AFR,MLI,32.8,3.644444444444444,1.7882331441335544,9
AFR,MOZ,77.0,0.6875,3.400798131016885,112
AFR,MRT,12.3,4.1000000000000005,1.9052558883257653,3
AFR,MUS,1.9,1.9,,1
AFR,MWI,119.2,3.136842105263158,3.1992753446917015,38
AFR,MYS,3.4000000000000004,0.3777777777777778,6.409714848918354,9
AFR,NAM,204.7,2.0469999999999997,4.870327701417217,100
AFR,NER,14.7,3.675,1.7036725037400822,4
AFR,NGA,270.8,2.2756302521008402,3.3168538898381823,119
AFR,NGOHLHIRC,13.8,4.6000000000000005,2.078460969082653,3
AFR,NGOHRIHRW,-2.0,-2.0,,1
AFR,NIC,7.6,1.9,0.0,4
AFR,NLD,19.999999999999996,0.8333333333333331,3.051110512963901,24
AFR,NMR,10.2,3.4,2.598076211353316,3
AFR,NOR,-2.0,-0.5,3.3166247903554,4
AFR,NPL,1.9,1.9,,1
