Source code,Target code,Goldstein_sum,Goldstein_mean,Goldstein_std,Goldstein_count
ABW,ABW,-16.0,-4.0,4.0,4
ABW,BGR,-20.0,-10.0,0.0,2
ABW,BRA,-15.0,-5.0,0.0,3
ABW,BRB,-16.0,-4.0,0.0,4
ABW,COL,-17.0,-4.25,1.5,4
ABW,CUB,-35.0,-7.0,2.7386127875258306,5
ABW,ESP,-13.0,-6.5,0.0,2
ABW,GRD,-16.0,-4.0,0.0,4
ABW,ITA,-4.0,-2.0,0.0,2
ABW,JAM,-2.0,-2.0,,1
ABW,LCA,-16.0,-4.0,0.0,4
ABW,MEX,-4.4,-4.4,,1
ABW,NLD,-93.1,-3.7239999999999998,2.275829519098476,25
ABW,TWN,-30.0,-10.0,0.0,3
ABW,USA,-80.0,-3.4782608695652173,1.9038135226050252,23
AFG,AFG,-182280.7,-7.184891604256997,3.4216196080686343,25370
AFG,AFR,-204.8,-6.4,3.142322954183274,32
AFG,AGO,-10.0,-10.0,,1
AFG,ALB,-4.0,-2.0,0.0,2
AFG,ARE,-200.8,-5.0200000000000005,2.901387820001194,40
AFG,ARG,-452.5,-7.182539682539683,3.3339669136727217,63
AFG,AUS,-10263.8,-8.67607776838546,2.5289513153416534,1183
AFG,AUT,-82.2,-6.323076923076924,2.5710418919683926,13
AFG,AZE,-132.3,-5.088461538461539,3.4719823643649947,26
AFG,BEL,-210.4,-5.131707317073171,3.47551715751701,41
AFG,BGD,-144.0,-8.0,2.2228757209048453,18
AFG,BGR,-77.8,-6.483333333333333,3.9574632217514227,12
AFG,BHR,-86.5,-6.653846153846154,2.5362752823170256,13
AFG,BHS,-2.0,-2.0,,1
AFG,BLR,-34.0,-8.5,3.0,4
AFG,BMU,-70.0,-7.0,2.7888667551135846,10
AFG,BRA,-104.0,-6.117647058823529,3.838657853683636,17
AFG,BRN,-10.0,-10.0,,1
AFG,BTN,-24.0,-4.0,0.0,6
AFG,CAN,-28151.6,-8.58280487804878,2.6920454925880146,3280
AFG,CHE,-124.8,-4.8,4.0302853496991995,26
AFG,CHN,-1406.2,-6.480184331797235,3.042419840255944,217
AFG,CIV,-8.0,-8.0,,1
AFG,COG,-42.0,-6.0,3.7416573867739413,7
AFG,COL,-4.8,-1.2,0.9237604307034013,4
AFG,CRI,-8.0,-2.0,0.0,4
AFG,CUB,-633.8,-5.195081967213114,2.4192360128329424,122
AFG,CYP,-8.0,-4.0,0.0,2
AFG,CZE,-82.0,-6.3076923076923075,4.1509961733021665,13
AFG,DEU,-7251.5,-6.808920187793428,3.436741065669426,1065
AFG,DNK,-1360.3,-8.949342105263158,2.4985822923395764,152
AFG,DZA,-118.0,-5.619047619047619,3.0858741140265344,21
AFG,EGY,-250.0,-6.944444444444445,3.051411331025548,36
AFG,ESP,-847.5,-8.828125,2.4103156869020945,96
AFG,EST,-957.6,-9.388235294117647,2.0252023058776345,102
AFG,ETH,-133.0,-8.3125,2.9825883613622137,16
AFG,EUR,-686.4,-5.0102189781021895,2.5224079494524103,137
AFG,FIN,-378.6,-8.230434782608697,2.8368894989028934,46
AFG,FJI,-170.0,-10.0,0.0,17
AFG,FRA,-6221.3,-8.604840940525587,2.7170165161263324,723
AFG,FSM,-41.2,-5.15,3.1600180831308995,8
AFG,GBR,-63870.0,-8.808440215142738,2.5752563570772256,7251
AFG,GEO,-37.2,-9.3,1.4000000000000001,4
AFG,GHA,-130.0,-9.285714285714286,1.8156825980064069,14
AFG,GMB,-25.0,-5.0,0.0,5
AFG,GRC,-149.5,-8.305555555555555,1.9936582461932584,18
AFG,GRD,-80.0,-10.0,0.0,8
AFG,HND,-0.4,-0.4,,1
AFG,HRV,-20.0,-6.666666666666667,2.886751345948129,3
AFG,HTI,-245.5,-7.220588235294118,3.4293545122612343,34
AFG,HUN,-77.0,-7.7,2.002775851439974,10
AFG,IDN,-958.3,-6.654861111111111,3.053779725184121,144
AFG,IGO,-54.2,-5.42,1.328156617270719,10
AFG,IGOBUSGOS,-15.0,-5.0,0.0,3
AFG,IGOBUSOPC,-0.8,-0.4,0.0,2
AFG,IGOEUREEC,-117.6,-2.868292682926829,1.7300923421005951,41
AFG,IGOEURSCE,-4.0,-2.0,0.0,2
AFG,IGOJUDICC,-5.0,-5.0,,1
AFG,IGOSASSAA,-10.0,-10.0,,1
AFG,IGOUNO,-2699.6,-5.731634819532909,3.8033911635480293,471
AFG,IGOUNODEVWBK,-8.0,-4.0,0.0,2
AFG,IGOUNOKID,-60.0,-10.0,0.0,6
AFG,IGOUNOLABILO,-4.4,-4.4,,1
AFG,IGOUNOREFHCR,-103.0,-8.583333333333334,2.193309385519075,12
AFG,IGOUNOWFP,-152.8,-6.945454545454546,2.47130720618852,22
AFG,IGOWSTNAT,-22312.0,-7.853572685674059,3.118305010718704,2841
AFG,IMGMOSALQ,-7543.5,-6.093295638126009,3.4964208924602276,1238
AFG,IMGSEAMOSASF,-30.0,-10.0,0.0,3
AFG,IND,-998.8,-5.806976744186046,3.5843483898154993,172
AFG,INT,-326.1,-5.92909090909091,3.6047125907557263,55
AFG,IRL,-997.1,-7.78984375,2.8575039998663114,128
AFG,IRN,-3610.8,-5.495890410958904,3.6136468354539804,657
AFG,IRQ,-9207.0,-6.623741007194244,3.376123821293365,1390
AFG,ISR,-849.2,-5.274534161490683,2.8434415657593877,161
AFG,ITA,-4242.9,-8.970190274841437,2.464016324371579,473
AFG,JAM,-23.2,-7.733333333333333,1.2701705922171762,3
AFG,JOR,-595.8,-8.391549295774647,2.964395697457854,71
AFG,JPN,-417.5,-7.324561403508772,3.402849682973416,57
AFG,KAZ,-637.6,-7.328735632183908,3.4537107797595334,87
AFG,KEN,-50.0,-10.0,0.0,5
AFG,KGZ,-773.3,-6.843362831858407,3.395424339833648,113
AFG,KHM,-287.9,-6.854761904761904,3.419542287225458,42
AFG,KNA,-30.0,-10.0,0.0,3
AFG,KOR,-906.1,-6.711851851851852,2.1629185593327938,135
AFG,KWT,-169.4,-4.982352941176471,3.153494510734641,34
AFG,LAO,-279.5,-6.817073170731708,3.359233725049836,41
AFG,LBN,-236.8,-4.643137254901961,2.1087678774071636,51
AFG,LBR,-60.8,-7.6,4.443936478908247,8
AFG,LBY,-53.0,-2.789473684210526,1.3572417850765923,19
AFG,LCA,-10.0,-10.0,,1
AFG,LKA,-564.0,-7.621621621621622,3.1708548724266556,74
AFG,LTU,-120.4,-7.525,4.427414595449584,16
AFG,LVA,-250.0,-10.0,0.0,25
AFG,MAR,-58.8,-7.35,3.2191391928366717,8
AFG,MCO,-15.0,-7.5,3.5355339059327378,2
AFG,MDA,-168.0,-9.882352941176471,0.33210558207753565,17
AFG,MDG,-24.5,-6.125,0.75,4
AFG,MDV,-192.0,-5.052631578947368,3.9204754842696836,38
AFG,MEX,-154.0,-9.625,1.2583057392117918,16
AFG,MKD,-34.0,-6.8,4.381780460041329,5
