Source code,Target code,Goldstein_sum,Goldstein_mean,Goldstein_std,Goldstein_count
AFG,AFG,-1003.7,-1.111517165005537,6.025698864757556,903
AFG,PAK,-365.6,-0.43062426383981156,5.416874378241238,849
AFG,RUS,-1492.1,-1.6360745614035086,5.923163625986404,912
CAN,USA,676.6,1.184938704028021,4.462115475173194,571
CHN,CHN,2897.9,1.8044209215442093,3.5499373529163174,1606
CHN,TWN,1203.7,2.1043706293706292,3.5520150600379727,572
CHN,USA,2187.0,1.7329635499207607,3.751069497643112,1262
CHN,VNM,-1546.9,-2.28493353028065,5.9070720730616175,677
DEU,DEU,513.6999999999999,0.5268717948717948,4.371568582045824,975
DEU,RUS,871.1,1.2183216783216784,4.0038269483723425,715
DEU,USA,54.999999999999986,0.0732356857523302,4.742653552219282,751
EGY,EGY,383.29999999999995,0.35327188940092163,4.464625297268704,1085
EGY,ISR,4426.7,1.9458021978021978,4.457100676765913,2275
EGY,USA,2589.7,2.393438077634011,3.8742494615398266,1082
FRA,FRA,878.5,0.743861134631668,4.464601638541735,1181
FRA,IRN,1051.8,1.2626650660264105,4.7874421169870764,833
FRA,USA,589.3,0.8528219971056439,4.391599688256234,691
GBR,GBR,61.39999999999995,0.02977691561590686,4.4502899772706765,2062
GBR,IRL,-551.5,-0.5257387988560533,5.169892753294195,1049
GBR,RUS,172.29999999999998,0.33198458574181117,3.824703550698694,519
GBR,USA,1619.6,1.2653124999999998,3.911641360766847,1280
IRL,GBR,-1433.6,-1.4124137931034482,5.3170211205020435,1015
IRN,FRA,795.1,0.9266899766899768,4.146911068657968,858
IRN,IRN,-3161.1,-1.2684991974317816,5.083925012380975,2492
IRN,IRQ,-7921.2,-3.0050075872534143,6.033034106587804,2636
IRN,USA,1009.4999999999999,0.5504362050163576,4.38175958367406,1834
IRQ,IRN,-8082.5,-3.3261316872427984,6.548517682352926,2430
ISR,EGY,5818.5,2.9930555555555554,4.013990987657593,1944
ISR,IRQ,-3084.9,-5.291423670668954,5.278025690177542,583
ISR,ISR,-476.50000000000006,-0.2358910891089109,4.566114826006806,2020
ISR,LBN,-6136.4,-3.2850107066381153,6.43941316727113,1868
ISR,PSE,-4235.6,-2.5623714458560194,6.17340030861591,1653
ISR,SAU,206.39999999999998,0.27086614173228346,4.110998233537095,762
ISR,SYR,-3133.2,-1.946086956521739,6.135180133378575,1610
ISR,USA,2833.4,1.4426680244399186,4.0469874218785975,1964
ITA,ITA,24.499999999999986,0.038102643856920665,4.254115926186704,643
JPN,JPN,1608.5,1.7408008658008658,3.592240917246489,924
JPN,RUS,94.0,0.15824915824915825,4.453818601316291,594
JPN,USA,2138.2,1.7540607054963082,3.9686753134312056,1219
KHM,VNM,-1293.1,-2.1338283828382836,5.904243678781621,606
LBN,ISR,-2030.5,-1.758008658008658,5.704421756285367,1155
LBN,LBN,-439.6,-0.6209039548022599,5.712752876983037,708
LBN,SYR,-460.5,-0.39835640138408307,6.034261979941299,1156
LBY,USA,-1353.1,-2.0913446676970633,5.117808936733457,647
PAK,AFG,592.1,0.7300863131935882,4.942939333210567,811
PAK,PAK,591.6,1.0736842105263158,4.6016140292989745,551
POL,POL,2664.7999999999997,1.1131161236424394,3.919262925329128,2394
POL,RUS,1846.5,1.130740967544397,4.153624451070729,1633
POL,USA,694.9,1.240892857142857,3.6191731415081065,560
PSE,ISR,-1641.3,-1.4948087431693988,5.713310308862669,1098
RUS,AFG,67.00000000000006,0.053301511535401795,6.61493850794962,1257
RUS,DEU,1126.9,1.9395869191049915,3.546676321927086,581
RUS,POL,891.4999999999999,0.3965747330960854,4.204164529162835,2248
RUS,RUS,2311.5,1.2301756253326237,3.858500914715768,1879
RUS,USA,1115.3,0.4471932638331997,4.050991437870721,2494
SAU,ISR,938.8,1.1974489795918366,3.9954499820839766,784
SAU,SAU,1181.9,1.9731218697829718,3.255347353429037,599
SAU,USA,869.9,1.553392857142857,3.7397668495079692,560
SLV,USA,-931.4,-1.7280148423005566,5.446721836626004,539
SYR,ISR,-2400.2000000000003,-1.6726132404181187,5.700367852547528,1435
SYR,LBN,-1292.9,-0.9150035385704176,6.3840464849452765,1413
SYR,SYR,152.89999999999998,0.27061946902654865,4.920555431079857,565
SYR,USA,211.2,0.3969924812030075,3.848754338550603,532
THA,VNM,-1405.7,-2.2745954692556634,5.528727267713375,618
TUR,TUR,-541.5,-1.0744047619047619,5.294571251239372,504
USA,AFR,435.2,0.8273764258555133,3.8443442141776663,526
USA,CAN,872.0,1.7165354330708662,4.002509346615938,508
USA,CHN,2545.1,2.2443562610229275,3.4758476815149932,1134
USA,DEU,534.4,0.8221538461538461,4.839555332470986,650
USA,EGY,2625.1,2.6516161616161615,4.248641299991962,990
USA,FRA,706.8,1.0840490797546012,4.179162358546608,652
USA,GBR,1535.7,1.418005540166205,4.101701429120316,1083
USA,IRN,1825.8,1.227016129032258,4.192024479227238,1488
USA,ISR,3101.9,1.3991429860171403,4.097252335653577,2217
USA,JPN,1442.6,1.2710132158590308,3.9934841478532244,1135
USA,LBY,-1890.7,-2.3993654822335024,5.537352621682155,788
USA,POL,383.2,0.47076167076167075,4.118130214929412,814
USA,RUS,1400.8999999999999,0.5517526585269791,4.254572458061353,2539
USA,SAU,1306.7,2.128175895765472,3.5744750711486373,614
USA,SLV,441.40000000000003,0.6046575342465754,4.57428012197231,730
USA,USA,2596.7,0.4416907637353291,4.313436589890543,5879
VNM,KHM,242.10000000000002,0.2927448609431681,6.7425141405885,827
VNM,THA,-2025.8,-3.0235820895522387,6.079408185905889,670
