Source code,Target code,Goldstein_sum,Goldstein_mean,Goldstein_std,Goldstein_count
ABW,COL,-20.0,-10.0,0.0,2
ABW,NLD,-462.0,-6.695652173913044,3.006387062797386,69
AFG,AFG,-13508.3,-7.177630180658873,3.429743577165309,1882
AFG,AGO,-100.0,-10.0,0.0,10
AFG,AUS,-279.5,-6.5,0.0,43
AFG,CAN,-115.0,-5.75,1.8317377426626165,20
AFG,CHE,-40.0,-10.0,0.0,4
AFG,CHN,-80.0,-4.2105263157894735,1.3572417850765923,19
AFG,DEU,-65.0,-5.909090909090909,1.513574937328539,11
AFG,EUR,-40.0,-4.0,0.0,10
AFG,FRA,-35.0,-5.0,0.0,7
AFG,GBR,-618.5,-5.286324786324786,3.4791969441759254,117
AFG,HUN,-12.0,-4.0,0.0,3
AFG,IGOUNO,-71.6,-5.507692307692308,0.9647638212377321,13
AFG,IND,-92.1,-2.3615384615384616,1.6328237382901702,39
AFG,IRN,-1079.2,-5.342574257425743,2.967715054332564,202
AFG,JPN,-20.0,-5.0,0.0,4
AFG,KHM,-123.8,-3.537142857142857,2.1925120851884667,35
AFG,LBY,-92.0,-2.967741935483871,1.4255728899344744,31
AFG,NGOHRIAMN,-216.0,-9.0,0.0,24
AFG,NOR,-20.0,-4.0,0.0,5
AFG,NPL,-20.0,-10.0,0.0,2
AFG,PAK,-18046.2,-6.951540832049307,3.342367939620675,2596
AFG,POL,-50.0,-5.0,0.0,10
AFG,RUS,-9820.1,-6.833750869867781,3.3680533671324073,1437
AFG,SAS,-20.0,-5.0,0.0,4
AFG,UIS,-68.9,-2.6500000000000004,2.3965391713886093,26
AFG,USA,-986.1,-4.786893203883495,3.411797760605201,206
AFG,ZAF,-590.0,-10.0,0.0,59
AFR,AGO,-4156.3,-7.5295289855072465,3.28855152044279,552
AFR,ARG,-16.0,-4.0,0.0,4
AFR,AUS,-435.8,-5.250602409638554,1.2212921479833683,83
AFR,AUT,-55.0,-5.0,0.0,11
AFR,BDI,-20.0,-2.0,0.0,10
AFR,BEL,-90.0,-5.0,0.0,18
AFR,BRB,-212.0,-4.930232558139535,3.034683233153239,43
AFR,BWA,-5084.8,-7.3373737373737375,3.315169639728311,693
AFR,CAF,-62.0,-5.636363636363637,2.335496832484569,11
