Source code,Target code,Goldstein_sum,Goldstein_mean,Goldstein_std,Goldstein_count
ABW,ABW,8.1,2.6999999999999997,0.7549834435270749,3
ABW,CRI,22.4,2.8,0.0,8
ABW,NLD,77.9,5.564285714285715,3.4790819175482186,14
ABW,PER,77.39999999999999,2.8666666666666663,0.1921537845661046,27
ABW,PRT,1.9,1.9,,1
ABW,USA,11.8,1.9666666666666668,0.8959166627910582,6
ABW,VEN,2.8,2.8,,1
AFG,AFG,21857.1,3.907938494546755,2.360488098865555,5593
AFG,AFR,87.4,3.641666666666667,2.022249429131626,24
AFG,AGO,5.6,2.8,0.0,2
AFG,ALB,7.5,2.5,0.5196152422706632,3
AFG,ARE,310.4,3.4488888888888884,2.1573102501971047,90
AFG,ARG,15.1,3.02,2.0789420386340742,5
AFG,ARM,17.5,2.5,1.02469507659596,7
AFG,AUS,475.0,3.2758620689655173,2.5033387666959723,145
AFG,AUT,94.8,3.0580645161290323,2.3783431478725388,31
AFG,AZE,77.89999999999999,2.1638888888888888,1.5043086267267245,36
AFG,BDI,2.0,1.0,0.0,2
AFG,BEL,203.0,2.6363636363636362,1.9033840425403195,77
AFG,BGD,113.0,5.380952380952381,2.557267887339738,21
AFG,BGR,91.0,3.7916666666666665,2.3972659547849537,24
AFG,BHR,7.199999999999999,2.4,1.2489995996796794,3
AFG,BLR,6.3,2.1,1.2124355652982142,3
AFG,BLZ,5.6,2.8,0.0,2
AFG,BRA,21.0,7.0,5.196152422706632,3
AFG,CAN,302.8,4.205555555555556,2.4376673731709624,72
AFG,CHE,120.2,3.6424242424242426,2.450131412678499,33
AFG,CHL,2.0,1.0,0.0,2
AFG,CHN,741.6,3.370909090909091,2.423904750247655,220
AFG,COL,9.5,1.9,0.0,5
AFG,CUB,19.7,2.4625,2.081165538826741,8
AFG,CYP,154.9,3.5204545454545455,2.222776343293324,44
AFG,CZE,193.2,5.68235294117647,2.6674775950591605,34
AFG,DEU,3261.3,3.4438225976768746,2.260921663315537,947
AFG,DNK,120.0,6.0,2.4443274825819192,20
AFG,DZA,137.5,3.125,1.7870496668050126,44
AFG,EGY,466.0,3.236111111111111,2.0583655377188688,144
AFG,ERI,6.0,6.0,,1
AFG,ESP,126.1,4.067741935483871,3.046461017505853,31
AFG,EST,19.6,4.9,2.4248711305964283,4
AFG,EUR,573.8,3.654777070063694,1.7880459847479901,157
AFG,FIN,37.0,4.625,2.5932604959779884,8
AFG,FJI,16.6,3.3200000000000003,3.175216528049701,5
AFG,FRA,1437.8999999999999,3.4648192771084334,2.3479183716263936,415
AFG,FSM,22.4,2.8,2.02837021134844,8
AFG,GBR,2779.4,3.9592592592592593,2.5131195880677546,702
AFG,GRC,95.3,4.765,3.0752449624293954,20
AFG,HND,8.0,4.0,0.0,2
AFG,HRV,24.099999999999998,2.4099999999999997,1.7722866585290316,10
AFG,HUN,36.0,3.272727272727273,1.553763758806923,11
AFG,IDN,376.2,4.324137931034483,2.812925544746731,87
